Team,CF,CA,CF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF%,HDSF%,HDGF%,HDSH%,HDSV%,SH%,SV%,PDO
Chicago Blackhawks,50,58,46.3,20,34,37.04,1,4,20.0,2.17,2.29,48.68,27,21,56.25,47.37,46.67,33.33,14.29,75,5.0,88.24,0.932
Vegas Golden Knights,58,50,53.7,34,20,62.96,4,1,80.0,2.29,2.17,51.32,21,27,43.75,52.63,53.33,66.67,25,85.71,11.76,95.0,1.068
Columbus Blue Jackets,111,188,37.12,63,88,41.72,2,3,40.0,3.57,7.03,33.66,43,88,32.82,31.58,36.67,33.33,9.09,89.47,3.17,96.59,0.998
Tampa Bay Lightning,188,111,62.88,88,63,58.28,3,2,60.0,7.03,3.57,66.34,88,43,67.18,68.42,63.33,66.67,10.53,90.91,3.41,96.83,1.002
Calgary Flames,53,56,48.62,26,26,50.0,3,2,60.0,2.79,1.13,71.2,23,13,63.89,70.0,66.67,100,16.67,100,11.54,92.31,1.038
Dallas Stars,56,53,51.38,26,26,50.0,2,3,40.0,1.13,2.79,28.8,13,23,36.11,30.0,33.33,0,0,83.33,7.69,88.46,0.9620000000000001
Montreal Canadiens,65,58,52.85,28,31,47.46,1,2,33.33,3.15,2.28,58.0,33,29,53.23,62.96,65.0,50,7.69,85.71,3.57,93.55,0.971
Philadelphia Flyers,58,65,47.15,31,28,52.54,2,1,66.67,2.28,3.15,42.0,29,33,46.77,37.04,35.0,50,14.29,92.31,6.45,96.43,1.0290000000000001
St Louis Blues,62,49,55.86,31,22,58.49,2,5,28.57,2.41,2.5,49.01,21,22,48.84,52.63,44.44,50,25,80,6.45,77.27,0.8370000000000001
Vancouver Canucks,49,62,44.14,22,31,41.51,5,2,71.43,2.5,2.41,50.99,22,21,51.16,47.37,55.56,50,20,75,22.73,93.55,1.163
Arizona Coyotes,47,69,40.52,14,40,25.93,0,3,0.0,1.11,2.1,34.68,17,33,34.0,27.27,0.0,0,-,50,0.0,92.5,0.925
Colorado Avalanche,69,47,59.48,40,14,74.07,3,0,100.0,2.1,1.11,65.32,33,17,66.0,72.73,100.0,100,50,-,7.5,100.0,1.075
Boston Bruins,86,74,53.75,40,28,58.82,4,3,57.14,2.92,2.52,53.74,48,37,56.47,53.57,50.0,75,42.86,85.71,10.0,89.29,0.993
Carolina Hurricanes,74,86,46.25,28,40,41.18,3,4,42.86,2.52,2.92,46.26,37,48,43.53,46.43,50.0,25,14.29,57.14,10.71,90.0,1.0070000000000001
New York Islanders,47,54,46.53,27,26,50.94,4,2,66.67,2.61,3.24,44.58,26,21,55.32,50.0,52.94,50,22.22,75,14.81,92.31,1.071
Washington Capitals,54,47,53.47,26,27,49.06,2,4,33.33,3.24,2.61,55.42,21,26,44.68,50.0,47.06,50,25,77.78,7.69,85.19,0.929
Chicago Blackhawks,59,74,44.36,25,39,39.06,3,4,42.86,1.86,3.18,36.9,28,43,39.44,37.5,46.67,40,28.57,62.5,12.0,89.74,1.0170000000000001
Vegas Golden Knights,74,59,55.64,39,25,60.94,4,3,57.14,3.18,1.86,63.1,43,28,60.56,62.5,53.33,60,37.5,71.43,10.26,88.0,0.983
Columbus Blue Jackets,46,69,40.0,22,37,37.29,3,1,75.0,2.04,2.39,46.05,22,34,39.29,45.0,40.0,75,50,88.89,13.64,97.3,1.109
Tampa Bay Lightning,69,46,60.0,37,22,62.71,1,3,25.0,2.39,2.04,53.95,34,22,60.71,55.0,60.0,25,11.11,50,2.7,86.36,0.8909999999999999
Calgary Flames,50,57,46.73,26,36,41.94,4,5,44.44,1.96,2.79,41.24,15,25,37.5,35.29,46.15,60,50,71.43,15.38,86.11,1.015
Dallas Stars,57,50,53.27,36,26,58.06,5,4,55.56,2.79,1.96,58.76,25,15,62.5,64.71,53.85,40,28.57,50,13.89,84.62,0.985
Boston Bruins,68,58,53.97,35,26,57.38,2,3,40.0,2.27,2.04,52.68,20,25,44.44,53.33,66.67,100,16.67,100,5.71,88.46,0.9420000000000001
Carolina Hurricanes,58,68,46.03,26,35,42.62,3,2,60.0,2.04,2.27,47.32,25,20,55.56,46.67,33.33,0,0,83.33,11.54,94.29,1.058
Montreal Canadiens,70,65,51.85,32,30,51.61,5,0,100.0,2.99,3.23,48.06,39,29,57.35,61.54,72.73,100,25,100,15.63,100.0,1.156
Philadelphia Flyers,65,70,48.15,30,32,48.39,0,5,0.0,3.23,2.99,51.94,29,39,42.65,38.46,27.27,0,0,75,0.0,84.38,0.8440000000000001
St Louis Blues,72,45,61.54,37,25,59.68,3,4,42.86,2.4,2.69,47.15,28,23,54.9,44.0,43.48,33.33,20,69.23,8.11,84.0,0.9209999999999999
Vancouver Canucks,45,72,38.46,25,37,40.32,4,3,57.14,2.69,2.4,52.85,23,28,45.1,56.0,56.52,66.67,30.77,80,16.0,91.89,1.079
Arizona Coyotes,58,55,51.33,33,28,54.1,2,3,40.0,2.42,2.88,45.66,24,20,54.55,61.11,57.14,33.33,12.5,66.67,6.06,89.29,0.953
Colorado Avalanche,55,58,48.67,28,33,45.9,3,2,60.0,2.88,2.42,54.34,20,24,45.45,38.89,42.86,66.67,33.33,87.5,10.71,93.94,1.047
New York Islanders,59,55,51.75,32,25,56.14,5,2,71.43,2.58,1.41,64.65,28,27,50.91,62.5,66.67,60,25,66.67,15.63,92.0,1.0759999999999998
Washington Capitals,55,59,48.25,25,32,43.86,2,5,28.57,1.41,2.58,35.35,27,28,49.09,37.5,33.33,40,33.33,75,8.0,84.38,0.924
Calgary Flames,37,76,32.74,23,35,39.66,2,0,100.0,1.52,3.06,33.17,13,37,26.0,37.5,46.15,100,16.67,100,8.7,100.0,1.087
Dallas Stars,76,37,67.26,35,23,60.34,0,2,0.0,3.06,1.52,66.83,37,13,74.0,62.5,53.85,0,0,83.33,0.0,91.3,0.9129999999999999
Arizona Coyotes,39,92,29.77,23,51,31.08,4,2,66.67,3.36,3.28,50.59,24,39,38.1,44.83,44.44,100,25,100,17.39,96.08,1.135
Colorado Avalanche,92,39,70.23,51,23,68.92,2,4,33.33,3.28,3.36,49.41,39,24,61.9,55.17,55.56,0,0,75,3.92,82.61,0.865
Boston Bruins,69,50,57.98,39,30,56.52,3,1,75.0,4.09,1.75,70.02,36,17,67.92,76.47,73.33,75,27.27,75,7.69,96.67,1.044
Carolina Hurricanes,50,69,42.02,30,39,43.48,1,3,25.0,1.75,4.09,29.98,17,36,32.08,23.53,26.67,25,25,72.73,3.33,92.31,0.956
Chicago Blackhawks,52,62,45.61,27,26,50.94,1,2,33.33,2.08,4.51,31.59,23,26,46.94,47.62,43.75,0,0,77.78,3.7,92.31,0.96
Vegas Golden Knights,62,52,54.39,26,27,49.06,2,1,66.67,4.51,2.08,68.41,26,23,53.06,52.38,56.25,100,22.22,100,7.69,96.3,1.04
Columbus Blue Jackets,34,74,31.48,17,34,33.33,2,3,40.0,2.1,3.36,38.45,16,21,43.24,27.78,20.0,50,50,87.5,11.76,91.18,1.0290000000000001
Tampa Bay Lightning,74,34,68.52,34,17,66.67,3,2,60.0,3.36,2.1,61.55,21,16,56.76,72.22,80.0,50,12.5,50,8.82,88.24,0.971
St Louis Blues,94,63,59.87,49,41,54.44,3,2,60.0,3.73,2.06,64.41,50,26,65.79,68.97,63.16,50,16.67,71.43,6.12,95.12,1.012
Vancouver Canucks,63,94,40.13,41,49,45.56,2,3,40.0,2.06,3.73,35.59,26,50,34.21,31.03,36.84,50,28.57,83.33,4.88,93.88,0.988
New York Islanders,69,55,55.65,34,23,59.65,2,1,66.67,3.23,1.65,66.2,35,25,58.33,72.73,64.71,100,18.18,100,5.88,95.65,1.015
Washington Capitals,55,69,44.35,23,34,40.35,1,2,33.33,1.65,3.23,33.8,25,35,41.67,27.27,35.29,0,0,81.82,4.35,94.12,0.985
Montreal Canadiens,61,46,57.01,23,20,53.49,0,1,0.0,1.54,1.76,46.68,18,22,45.0,33.33,33.33,0,0,75,0.0,95.0,0.95
Philadelphia Flyers,46,61,42.99,20,23,46.51,1,0,100.0,1.76,1.54,53.32,22,18,55.0,66.67,66.67,100,25,100,5.0,100.0,1.05
Chicago Blackhawks,45,96,31.91,25,49,33.78,3,1,75.0,2.36,3.71,38.89,14,43,24.56,23.81,31.25,100,40,100,12.0,97.96,1.1
Vegas Golden Knights,96,45,68.09,49,25,66.22,1,3,25.0,3.71,2.36,61.11,43,14,75.44,76.19,68.75,0,0,60,2.04,88.0,0.9
Calgary Flames,60,108,35.71,40,62,39.22,4,5,44.44,2.9,5.12,36.2,22,56,28.21,29.73,33.33,50,33.33,83.33,10.0,91.94,1.0190000000000001
Dallas Stars,108,60,64.29,62,40,60.78,5,4,55.56,5.12,2.9,63.8,56,22,71.79,70.27,66.67,50,16.67,66.67,8.06,90.0,0.981
Arizona Coyotes,32,62,34.04,15,30,33.33,1,7,12.5,0.89,3.6,19.74,15,30,33.33,20.0,17.65,0,0,57.14,6.67,76.67,0.833
Colorado Avalanche,62,32,65.96,30,15,66.67,7,1,87.5,3.6,0.89,80.26,30,15,66.67,80.0,82.35,100,42.86,100,23.33,93.33,1.167
St Louis Blues,61,49,55.45,37,23,61.67,3,1,75.0,3.64,2.0,64.48,24,20,54.55,57.89,58.33,100,28.57,100,8.11,95.65,1.038
Vancouver Canucks,49,61,44.55,23,37,38.33,1,3,25.0,2.0,3.64,35.52,20,24,45.45,42.11,41.67,0,0,71.43,4.35,91.89,0.9620000000000001
Boston Bruins,66,42,61.11,33,19,63.46,4,3,57.14,3.25,1.04,75.66,35,16,68.63,70.83,66.67,66.67,20,80,12.12,84.21,0.963
Carolina Hurricanes,42,66,38.89,19,33,36.54,3,4,42.86,1.04,3.25,24.34,16,35,31.37,29.17,33.33,33.33,20,80,15.79,87.88,1.037
Columbus Blue Jackets,51,51,50.0,29,22,56.86,1,2,33.33,1.61,2.62,38.11,22,20,52.38,38.89,42.86,33.33,16.67,75,3.45,90.91,0.9440000000000001
Tampa Bay Lightning,51,51,50.0,22,29,43.14,2,1,66.67,2.62,1.61,61.89,20,22,47.62,61.11,57.14,66.67,25,83.33,9.09,96.55,1.056
Chicago Blackhawks,52,68,43.33,26,39,40.0,3,4,42.86,1.95,3.75,34.25,26,34,43.33,40.74,45.0,60,33.33,81.82,11.54,89.74,1.013
Vegas Golden Knights,68,52,56.67,39,26,60.0,4,3,57.14,3.75,1.95,65.75,34,26,56.67,59.26,55.0,40,18.18,66.67,10.26,88.46,0.987
New York Islanders,53,64,45.3,26,29,47.27,2,3,40.0,2.56,2.9,46.88,22,33,40.0,61.11,64.29,50,11.11,80,7.69,89.66,0.973
Washington Capitals,64,53,54.7,29,26,52.73,3,2,60.0,2.9,2.56,53.12,33,22,60.0,38.89,35.71,50,20,88.89,10.34,92.31,1.0270000000000001
Calgary Flames,68,64,51.52,29,32,47.54,1,2,33.33,2.02,2.16,48.25,24,30,44.44,44.44,50.0,0,0,80,3.45,93.75,0.972
Dallas Stars,64,68,48.48,32,29,52.46,2,1,66.67,2.16,2.02,51.75,30,24,55.56,55.56,50.0,100,20,100,6.25,96.55,1.028
Montreal Canadiens,58,52,52.73,29,22,56.86,0,2,0.0,1.66,1.37,54.86,21,18,53.85,73.33,80.0,-,0,100,0.0,90.91,0.909
Philadelphia Flyers,52,58,47.27,22,29,43.14,2,0,100.0,1.37,1.66,45.14,18,21,46.15,26.67,20.0,-,0,100,9.09,100.0,1.091
Columbus Blue Jackets,75,49,60.48,41,25,62.12,4,5,44.44,4.1,1.54,72.66,36,17,67.92,59.26,54.55,60,25,80,9.76,80.0,0.898
Tampa Bay Lightning,49,75,39.52,25,41,37.88,5,4,55.56,1.54,4.1,27.34,17,36,32.08,40.74,45.45,40,20,75,20.0,90.24,1.102
Montreal Canadiens,54,67,44.63,33,29,53.23,5,3,62.5,2.94,2.94,50.01,26,38,40.63,37.5,35.71,66.67,40,88.89,15.15,89.66,1.048
Philadelphia Flyers,67,54,55.37,29,33,46.77,3,5,37.5,2.94,2.94,49.99,38,26,59.38,62.5,64.29,33.33,11.11,60,10.34,84.85,0.9520000000000001
